k,RSR Time (s),RSR PP (s)
1,3.826981086283922,4.105133863165975
2,1.9572275020182133,2.1178229614160955
3,1.3056643842719495,1.4599859439767897
4,1.1542556108906865,1.3253869879990816
5,0.9683061251416802,1.1216815486550331
6,0.9326412030495703,1.0811658748425543
7,1.0109949400648475,1.1512036458589137
8,1.1057005301117897,1.2317222291603684
9,1.4286135607399046,1.569483873900026
10,2.0963529031723738,2.2124358150176704
11,3.3407878731377423,3.0502445087768137
12,5.42222701292485,5.10255114082247
13,9.316329563967884,8.88585336599499
14,16.754510020371526,15.972517034970224
