Vector Length,Naive Time (s),RSR Time (s),RSR PP (s)
2048,0.04296159744262695,0.025255918502807617,0.03391528129577637
4096,0.19073104858398438,0.0796053409576416,0.09401297569274902
8192,0.9087083339691162,0.27219295501708984,0.2977173328399658
16384,4.898410320281982,3.7875139713287354,1.0672125816345215
32768,21.24398422241211,13.185709953308105,3.0779330730438232
65536,61.45208287239075,48.17261719703674,11.000455141067505



#2 
Vector Length,Naive Time (s),RSR Time (s),RSR PP (s)
2048,0.03554320819675923,0.02372480696067214,0.27
4096,0.18241005423478782,0.07576311621814966,0.78
8192,0.8976805210113525,0.2598950546234846,0.254
16384,4.8891459298320115,0.9175708158873022,0.858
32768,20.64280569506809,3.2952245818451047,2.91
65536,59.781986786052585,11.655869627837092,10.93
