method,time
RSR,0.00025582313537597656
Standard,0.0002627372741699219
RSR,0.00018167495727539062
Standard,0.00041662499925825534
RSR,0.00021004676818847656
Standard,0.0004527568817138672
RSR,0.0003204345703125
Standard,0.0004119873046875
RSR,0.0001964569091796875
Standard,0.0003643035888671875
RSR,0.0002624988555908203
Standard,0.00041866302490234375
RSR,0.00021958351135253906
Standard,0.0003418922424316406
RSR,0.0001895427703857422
Standard,0.0005582559339933458
RSR,0.00017690658569335938
Standard,0.000786974943903029
RSR,0.00021004676818847656
Standard,0.00032401084899902344
RSR,0.00021982192993164062
Standard,0.00034332275390625
RSR,0.0002167224884033203
Standard,0.0008900166825887911
RSR,0.00022363662719726562
Standard,0.0002951622009277344
RSR,0.000225067138671875
Standard,0.0003604888916015625
RSR,0.00020742416381835938
Standard,0.0003135204315185547
RSR,0.0001838207244873047
Standard,0.00035500526428222656
RSR,0.0002105236053466797
Standard,0.00010180473327636719
RSR,0.0002052783966064453
Standard,0.0003299713134765625
RSR,0.00021505355834960938
Standard,0.00041747093200683594
RSR,0.00019502639770507812
Standard,0.000180874854096998
RSR,0.00019931793212890625
Standard,0.0003237724304199219
RSR,0.0002734661102294922
Standard,0.0003254413604736328
RSR,0.00019121170043945312
Standard,0.0006558374843287047
RSR,0.0002129077911376953
Standard,0.0003802776336669922
RSR,0.00023674964904785156
Standard,0.00033020973205566406
RSR,0.000209808349609375
Standard,0.0002980232238769531
RSR,0.0002033710479736328
Standard,0.00038051605224609375
RSR,0.00021195411682128906
Standard,0.0003037452697753906
RSR,0.0001823902130126953
Standard,9.25075567274396e-05
RSR,0.00018739700317382812
Standard,0.00026988983154296875
RSR,0.000209808349609375
Standard,0.0003981590270996094
RSR,0.0002086162567138672
Standard,0.0007242660177362841
RSR,0.0002028942108154297
Standard,0.0009689411164155109
RSR,0.000209808349609375
Standard,0.0003590583801269531
RSR,0.00023365020751953125
Standard,0.0005258860625642346
RSR,0.00019288063049316406
Standard,0.0005317293655311172
RSR,0.0001838207244873047
Standard,0.00037941435862347804
RSR,0.00021314620971679688
Standard,0.0003237724304199219
RSR,0.00020003318786621094
Standard,0.000503182738358454
RSR,0.000263214111328125
Standard,0.00038123130798339844
RSR,0.00021409988403320312
Standard,0.0003371238708496094
RSR,0.0001952648162841797
Standard,0.0003666877746582031
RSR,0.000209808349609375
Standard,0.0009451514095386311
RSR,0.0001938343048095703
Standard,0.0004229545593261719
