method,time
RSR,0.0003466606140136719
Standard,0.00036263465881347656
RSR,0.0002503395080566406
Standard,9.369850158691406e-05
RSR,0.000247955322265625
Standard,0.00042748451232910156
RSR,0.00034618377685546875
Standard,0.00046324729919433594
RSR,0.00023055076599121094
Standard,0.0005756214304869064
RSR,0.00027179718017578125
Standard,0.00033211708068847656
RSR,0.0002200603485107422
Standard,0.0004029273986816406
RSR,0.00021409988403320312
Standard,0.0003368854522705078
RSR,0.00021195411682128906
Standard,0.0003151893615722656
RSR,0.0002167224884033203
Standard,0.00034999847412109375
RSR,0.0002205371856689453
Standard,0.00035691261291503906
RSR,0.0002377033233642578
Standard,0.00032830238342285156
RSR,0.00023794174194335938
Standard,0.00023378890453394253
RSR,0.00028395652770996094
Standard,0.0003113746643066406
RSR,0.00020766258239746094
Standard,0.000278472900390625
RSR,0.00020051002502441406
Standard,8.355331990253734e-06
RSR,0.00024056434631347656
Standard,0.00033705094219335576
RSR,0.00026035308837890625
Standard,0.0003345012664794922
RSR,0.00022983551025390625
Standard,0.0004203319549560547
RSR,0.00022101402282714844
Standard,0.0003070831298828125
RSR,0.0002346038818359375
Standard,0.0003631114959716797
RSR,0.00021457672119140625
Standard,0.0005372785449952918
RSR,0.00021576881408691406
Standard,0.0003032684326171875
RSR,0.0002231597900390625
Standard,0.00033354759216308594
RSR,0.00022268295288085938
Standard,0.0007816794766254212
RSR,0.00035953521728515625
Standard,0.0003726482391357422
RSR,0.00021338462829589844
Standard,0.0003027915954589844
RSR,0.00026106834411621094
Standard,0.00038909912109375
RSR,0.00020051002502441406
Standard,0.0002799034118652344
RSR,0.00019979476928710938
Standard,0.0008261042420137804
RSR,0.00023865699768066406
Standard,0.0003757476806640625
RSR,0.00023436546325683594
Standard,0.00033092498779296875
RSR,0.0002288818359375
Standard,0.00035572052001953125
RSR,0.000225067138671875
Standard,0.0003218650817871094
RSR,0.0002167224884033203
Standard,0.0009522834818705108
RSR,0.0002186298370361328
Standard,0.00032806396484375
RSR,0.00019693374633789062
Standard,0.0009482686178971959
RSR,0.00022602081298828125
Standard,0.00016782196061801901
RSR,0.00021791458129882812
Standard,0.0008176613221860462
RSR,0.00021314620971679688
Standard,0.00038361549377441406
RSR,0.00023102760314941406
Standard,0.00032258033752441406
RSR,0.00021147727966308594
Standard,0.00029349327087402344
RSR,0.00022459030151367188
Standard,0.00011538247497365627
RSR,0.00019884109497070312
Standard,0.0003046989440917969
RSR,0.00021719932556152344
Standard,0.0003066062927246094
